name,version,status,source_kind,owner
using-skills,1.0.0,active,local,global
caveman,1.0.0,active,vendor,global
session-wrap,3.1.0,active,vendor,global
commit-daily-summary,3.1.0,active,vendor,global
project-daily-summary,3.1.0,active,vendor,global
research-note-wrap,3.1.0,active,vendor,global
worktree-closeout,3.1.0,active,vendor,global
parallel-collab,1.0.0,active,local,global
systematic-debugging,1.1.9,active,vendor,global
verification-before-completion,1.1.9,active,vendor,global
brainstorming,1.1.9,active,vendor,global
writing-plans,1.1.9,active,vendor,global
executing-plans,1.1.9,active,vendor,global
subagent-driven-development,1.1.9,active,vendor,global
dispatching-parallel-agents,1.1.9,active,vendor,global
requesting-code-review,1.1.9,active,vendor,global
receiving-code-review,1.1.9,active,vendor,global
test-driven-development,1.1.9,active,vendor,global
using-git-worktrees,1.1.9,active,vendor,global
finishing-a-development-branch,1.1.9,active,vendor,global
codex-fix-dns,1.0.0,active,local,global
