name,enabled,source_kind,version,source_rel,profiles,tags
using-skills,1,local,1.0.0,commands/using-skills.md,minimal|solo-dev|team-collab,meta
caveman,1,vendor,1.0.0,vendor/skills/caveman/1.0.0/SKILL.md,minimal|solo-dev|team-collab,comms
session-wrap,1,vendor,3.1.0,vendor/skills/session-wrap/3.1.0/SKILL.md,minimal|solo-dev|team-collab,summary
commit-daily-summary,1,vendor,3.1.0,vendor/skills/commit-daily-summary/3.1.0/SKILL.md,minimal|solo-dev|team-collab,summary
project-daily-summary,1,vendor,3.1.0,vendor/skills/project-daily-summary/3.1.0/SKILL.md,minimal|solo-dev|team-collab,summary
research-note-wrap,1,vendor,3.1.0,vendor/skills/research-note-wrap/3.1.0/SKILL.md,minimal|solo-dev|team-collab,summary
worktree-closeout,1,vendor,3.1.0,vendor/skills/worktree-closeout/3.1.0/SKILL.md,solo-dev|team-collab,summary
parallel-collab,1,local,1.0.0,commands/parallel-collab.md,solo-dev|team-collab,parallel
systematic-debugging,1,vendor,1.1.9,vendor/plugins/superpowers/1.1.9/skills/systematic-debugging/SKILL.md,solo-dev|team-collab,superpowers
verification-before-completion,1,vendor,1.1.9,vendor/plugins/superpowers/1.1.9/skills/verification-before-completion/SKILL.md,solo-dev|team-collab,superpowers
brainstorming,1,vendor,1.1.9,vendor/plugins/superpowers/1.1.9/skills/brainstorming/SKILL.md,team-collab,superpowers
writing-plans,1,vendor,1.1.9,vendor/plugins/superpowers/1.1.9/skills/writing-plans/SKILL.md,team-collab,superpowers
executing-plans,1,vendor,1.1.9,vendor/plugins/superpowers/1.1.9/skills/executing-plans/SKILL.md,team-collab,superpowers
subagent-driven-development,1,vendor,1.1.9,vendor/plugins/superpowers/1.1.9/skills/subagent-driven-development/SKILL.md,team-collab,superpowers
dispatching-parallel-agents,1,vendor,1.1.9,vendor/plugins/superpowers/1.1.9/skills/dispatching-parallel-agents/SKILL.md,team-collab,superpowers
requesting-code-review,1,vendor,1.1.9,vendor/plugins/superpowers/1.1.9/skills/requesting-code-review/SKILL.md,team-collab,superpowers
receiving-code-review,1,vendor,1.1.9,vendor/plugins/superpowers/1.1.9/skills/receiving-code-review/SKILL.md,team-collab,superpowers
test-driven-development,1,vendor,1.1.9,vendor/plugins/superpowers/1.1.9/skills/test-driven-development/SKILL.md,team-collab,superpowers
using-git-worktrees,1,vendor,1.1.9,vendor/plugins/superpowers/1.1.9/skills/using-git-worktrees/SKILL.md,team-collab,superpowers
finishing-a-development-branch,1,vendor,1.1.9,vendor/plugins/superpowers/1.1.9/skills/finishing-a-development-branch/SKILL.md,team-collab,superpowers
codex-fix-dns,1,local,1.0.0,commands/codex-fix-dns.md,minimal|solo-dev|team-collab,infra
